url,status_code,error,source_files
http://cool-timer.en.uptodown.com/,404,HTTP Error 404: Not Found,"C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\AAQ Application Development\F160 Fundamentals of application development\Topic area 2 - Software development models\The Tower Game\The Tower Game - Presentation.pptx|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\T-Levels\2025 - 2026 Year 1 (Software Development)\ESP\HCH - Task 1 (planning)\The Tower Game\The Tower Game - Presentation.pptx|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\T-Levels\Content bank\2024 - 2025 lessons and content (Production, Design and Development)\Unit 5 - Business context\5.1 The business environment\5.1.4 The Tower Game\The Tower Game - Presentation.pptx"
http://customooxmlschemas.google.com/,,<urlopen error [Errno 11001] getaddrinfo failed>,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Y9 Computer Science\2024-2025\Python\Half term 1\L1 - An introduction to python.pptx|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Y9 Computer Science\2024-2025\Python\Half term 1\L2 - Python cheat sheet and variables.pptx
http://customschemas.google.com/relationships/presentationmetadata,,<urlopen error [Errno 11001] getaddrinfo failed>,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Y9 Computer Science\2024-2025\Python\Half term 1\L1 - An introduction to python.pptx|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Y9 Computer Science\2024-2025\Python\Half term 1\L2 - Python cheat sheet and variables.pptx
http://download.gameblog.fr/images/blogs/15324/41558.jpg,,<urlopen error [Errno 11001] getaddrinfo failed>,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Camb Tech Level 3\Unit 1\2023\Week07 - Protocols.pptx
http://drive.google.com/file/d/16REkyfkdxZNBgpSFlDktpeLzbzUJoFnU/view,401,HTTP Error 401: Unauthorized,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Y9 IT\2024 - 2025\Astro Pi Challenge\AstroPi Challenge 2024-25.pptx
http://eujournal.org/index.php/esj/article/viewFile/2939/2768,403,HTTP Error 403: Forbidden,"C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\ALevel Computing\Comp1\Unit 9 Legal-moral-ethical-and-cultural-issues\Unit 9 Legal and cultural issues\T2 Ethical, moral and cultural issues\Unit 9 Worksheet 2 Answers.docx"
http://fernfortuniversity.com/term-papers/swot/nyse/6900-tesco-plc.php,404,HTTP Error 404: Not Found,"C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\T-Levels\Content bank\2024 - 2025 lessons and content (Production, Design and Development)\Resources\data-intro-powerpoint.pptx"
http://fiberbit.com.tw/application-layer-in-osi-networking-model/,500,HTTP Error 500: Internal Server Error,"C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\T-Levels\Content bank\2024 - 2025 lessons and content (Production, Design and Development)\Resources\digital-environments-intro-powerpoint (1).pptx"
http://gamedevelopment.tutsplus,,<urlopen error [Errno 11001] getaddrinfo failed>,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Camb Tech Level 3\Unit 15 - Games Design and Prototyping\Sample Tasks from OCR.pdf
http://headofred.files.wordpress.com/2012/05/computer_connection_11_15_08_pc_pro_me.jpg,410,HTTP Error 410: Gone,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Camb Tech Level 3\Unit 1\2023\Week07 - Protocols.pptx
http://localhost/phpmyadmin/,,<urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>,"C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\T-Levels\2025 - 2026 Year 2 (Production, Design and Development)\OSC - Past Papers\Leeds UTC example\McAllister Tom - LL-000018216 (Distinction)\Task 2\SUBMIT THIS WORK\Task2_Internet_Log_LL-000018216_McAllister_T.pdf|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\T-Levels\2025 - 2026 Year 2 (Production, Design and Development)\OSC - Past Papers\Leeds UTC example\McAllister Tom - LL-000018216 (Distinction)\Task 2\Task2_Internet_Log_LL-000018216_McAllister_T.docx"
http://maps.googleapis.com/maps/,404,HTTP Error 404: Not Found,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\ALevel Computing\Comp1\Unit 5 Networks and web technologies\Topic 7 Client-server and peer-to-peer\Networks T7 Client and Server Processing.pptx
http://news.sky.com/story/1412124/revealed-the-top-25-most-common-passwords,403,HTTP Error 403: Forbidden,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\ALevel Computing\Comp1\Unit 10 Computational Thinking - MEG\Computational thinking Teaching Guide.docx|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\ALevel Computing\Comp1\Unit 10 Computational Thinking\Computational thinking Teaching Guide.docx
http://novabackup.novastor.com/blog/seven-consequences-of-data-loss,,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032)>,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\ALevel Computing\Comp1\Unit 2 Systems software\Systems software T3 Nature of applications\Systems Software Worksheet 3 Answers.docx
